player_hand,dealer_upcard,action
HARD_20,ACE,STAND
HARD_21,ACE,STAND
SOFT_12,TWO,HIT
SOFT_13,TWO,HIT
SOFT_14,TWO,HIT
SOFT_15,TWO,HIT
SOFT_16,TWO,HIT
SOFT_17,TWO,HIT
SOFT_18,TWO,STAND
SOFT_19,TWO,STAND
SOFT_20,TWO,STAND
SOFT_21,TWO,STAND
SOFT_12,THREE,HIT
SOFT_13,THREE,HIT
SOFT_14,THREE,HIT
SOFT_15,THREE,HIT
SOFT_16,THREE,HIT
SOFT_17,THREE,DOUBLE_DOWN
SOFT_18,THREE,DOUBLE_DOWN
SOFT_19,THREE,STAND
SOFT_20,THREE,STAND
SOFT_21,THREE,STAND
SOFT_12,FOUR,HIT
SOFT_13,FOUR,HIT
SOFT_14,FOUR,HIT
SOFT_15,FOUR,HIT
SOFT_16,FOUR,DOUBLE_DOWN
SOFT_17,FOUR,DOUBLE_DOWN
SOFT_18,FOUR,DOUBLE_DOWN
SOFT_19,FOUR,STAND
SOFT_20,FOUR,STAND
SOFT_21,FOUR,STAND
SOFT_12,FIVE,HIT
SOFT_13,FIVE,HIT
SOFT_14,FIVE,DOUBLE_DOWN
SOFT_15,FIVE,DOUBLE_DOWN
SOFT_16,FIVE,DOUBLE_DOWN
SOFT_17,FIVE,DOUBLE_DOWN
SOFT_18,FIVE,DOUBLE_DOWN
SOFT_19,FIVE,STAND
SOFT_20,FIVE,STAND
SOFT_21,FIVE,STAND
SOFT_12,SIX,HIT
SOFT_13,SIX,DOUBLE_DOWN
SOFT_14,SIX,DOUBLE_DOWN
SOFT_15,SIX,DOUBLE_DOWN
SOFT_16,SIX,DOUBLE_DOWN
SOFT_17,SIX,DOUBLE_DOWN
SOFT_18,SIX,DOUBLE_DOWN
SOFT_19,SIX,STAND
SOFT_20,SIX,STAND
SOFT_21,SIX,STAND
SOFT_12,SEVEN,HIT
SOFT_13,SEVEN,HIT
SOFT_14,SEVEN,HIT
SOFT_15,SEVEN,HIT
SOFT_16,SEVEN,HIT
SOFT_17,SEVEN,HIT
SOFT_18,SEVEN,STAND
SOFT_19,SEVEN,STAND
SOFT_20,SEVEN,STAND
SOFT_21,SEVEN,STAND
SOFT_12,EIGHT,HIT
SOFT_13,EIGHT,HIT
SOFT_14,EIGHT,HIT
SOFT_15,EIGHT,HIT
SOFT_16,EIGHT,HIT
SOFT_17,EIGHT,HIT
SOFT_18,EIGHT,STAND
SOFT_19,EIGHT,STAND
SOFT_20,EIGHT,STAND
SOFT_21,EIGHT,STAND
SOFT_12,NINE,HIT
SOFT_13,NINE,HIT
SOFT_14,NINE,HIT
SOFT_15,NINE,HIT
SOFT_16,NINE,HIT
SOFT_17,NINE,HIT
SOFT_18,NINE,HIT
SOFT_19,NINE,STAND
SOFT_20,NINE,STAND
SOFT_21,NINE,STAND
SOFT_12,TEN,HIT
SOFT_13,TEN,HIT
SOFT_14,TEN,HIT
SOFT_15,TEN,HIT
SOFT_16,TEN,HIT
SOFT_17,TEN,HIT
SOFT_18,TEN,HIT
SOFT_19,TEN,STAND
SOFT_20,TEN,STAND
SOFT_21,TEN,STAND
SOFT_12,ACE,HIT
SOFT_13,ACE,HIT
SOFT_14,ACE,HIT
SOFT_15,ACE,HIT
SOFT_16,ACE,HIT
SOFT_17,ACE,HIT
SOFT_18,ACE,HIT
SOFT_19,ACE,STAND
SOFT_20,ACE,STAND
SOFT_21,ACE,STAND
PAIR_2,TWO,SPLIT
PAIR_3,TWO,SPLIT
PAIR_4,TWO,NO_SPLIT
PAIR_5,TWO,NO_SPLIT
PAIR_6,TWO,SPLIT
PAIR_7,TWO,SPLIT
PAIR_8,TWO,SPLIT
PAIR_9,TWO,SPLIT
PAIR_10,TWO,NO_SPLIT
PAIR_ACE,TWO,SPLIT
PAIR_2,THREE,SPLIT
PAIR_3,THREE,SPLIT
PAIR_4,THREE,NO_SPLIT
PAIR_5,THREE,NO_SPLIT
PAIR_6,THREE,SPLIT
PAIR_7,THREE,SPLIT
PAIR_8,THREE,SPLIT
PAIR_9,THREE,SPLIT
PAIR_10,THREE,NO_SPLIT
PAIR_ACE,THREE,SPLIT
PAIR_2,FOUR,SPLIT
PAIR_3,FOUR,SPLIT
PAIR_4,FOUR,NO_SPLIT
PAIR_5,FOUR,NO_SPLIT
PAIR_6,FOUR,SPLIT
PAIR_7,FOUR,SPLIT
PAIR_8,FOUR,SPLIT
PAIR_9,FOUR,SPLIT
PAIR_10,FOUR,NO_SPLIT
PAIR_ACE,FOUR,SPLIT
PAIR_2,FIVE,SPLIT
PAIR_3,FIVE,SPLIT
PAIR_4,FIVE,SPLIT
PAIR_5,FIVE,NO_SPLIT
PAIR_6,FIVE,SPLIT
PAIR_7,FIVE,SPLIT
PAIR_8,FIVE,SPLIT
PAIR_9,FIVE,SPLIT
PAIR_10,FIVE,NO_SPLIT
